,date,maxO3,T6,T9,T12,T15,T18,Ne6,Ne9,Ne12,Ne15,Ne18,Vdir6,Vvit6,Vdir9,Vvit9,Vdir12,Vvit12,Vdir15,Vvit15,Vdir18,Vvit18,Vx,maxO3v,maxO3l
0,1995-04-01,47.6,10.1,11.6,13.3,13.6,12.2,8.0,8.0,8.0,8.0,8.0,270.0,2.0,290.0,4.0,300.0,4.0,340.0,4.0,20.0,4.0,-3.4641,62.2,56.2
1,1995-04-02,56.2,9.5,9.4,13.8,17.4,16.3,8.0,8.0,7.0,0.0,0.0,100.0,2.0,160.0,2.0,180.0,3.0,110.0,1.0,350.0,2.0,0.0,47.6,61.8
2,1995-04-03,61.8,3.6,8.0,16.8,21.5,20.2,4.0,5.0,2.0,2.0,3.0,310.0,2.0,20.0,2.0,340.0,1.0,170.0,2.0,170.0,3.0,-0.342,56.2,50.8
3,1995-04-04,50.8,9.5,10.5,11.4,12.2,11.4,8.0,7.0,7.0,7.0,8.0,20.0,3.0,10.0,4.0,350.0,3.0,350.0,3.0,350.0,4.0,-0.5209,61.8,59.8
4,1995-04-05,59.8,9.8,10.8,13.8,14.3,13.3,8.0,7.0,8.0,8.0,7.0,330.0,2.0,340.0,2.0,280.0,1.0,320.0,3.0,350.0,4.0,-0.9848,50.8,53.4
5,1995-04-06,53.4,8.9,10.2,12.6,13.2,12.9,8.0,8.0,8.0,8.0,7.0,240.0,1.0,230.0,3.0,290.0,2.0,300.0,1.0,350.0,3.0,-1.8794,59.8,49.4
6,1995-04-07,49.4,11.2,11.0,13.3,14.9,12.5,8.0,8.0,8.0,7.0,7.0,320.0,1.0,350.0,2.0,350.0,1.0,330.0,5.0,360.0,5.0,-0.1736,53.4,82.8
7,1995-04-08,82.8,10.0,13.4,15.6,15.4,13.9,8.0,7.0,1.0,3.0,7.0,20.0,4.0,80.0,6.0,90.0,6.0,30.0,6.0,80.0,5.0,6.0,49.4,76.8
8,1995-04-09,76.8,3.7,8.3,12.3,13.9,13.2,2.0,4.0,3.0,5.0,5.0,70.0,3.0,90.0,6.0,90.0,4.0,80.0,5.0,80.0,4.0,4.0,82.8,92.6
9,1995-04-10,92.6,3.1,9.3,14.1,16.5,14.6,6.0,6.0,4.0,4.0,7.0,350.0,2.0,50.0,1.0,60.0,2.0,80.0,4.0,70.0,4.0,1.7321,76.8,90.6
10,1995-04-11,90.6,4.3,13.7,17.0,18.5,17.1,3.0,2.0,4.0,3.0,0.0,330.0,1.0,90.0,4.0,100.0,5.0,90.0,4.0,60.0,3.0,4.924,92.6,104.6
11,1995-04-12,104.6,4.8,12.9,18.0,18.9,16.3,1.0,1.0,1.0,0.0,0.0,340.0,1.0,30.0,2.0,60.0,5.0,20.0,6.0,40.0,7.0,4.3301,90.6,71.0
12,1995-04-13,71.0,5.9,10.9,13.3,15.0,13.6,1.0,1.0,1.0,1.0,1.0,30.0,5.0,70.0,9.0,60.0,7.0,30.0,8.0,60.0,6.0,6.0622,104.6,66.6
13,1995-04-14,66.6,6.5,10.5,14.1,15.6,13.1,0.0,1.0,1.0,2.0,4.0,20.0,4.0,30.0,6.0,20.0,6.0,20.0,6.0,350.0,5.0,2.0521,71.0,93.8
14,1995-04-15,93.8,7.0,8.0,13.6,14.1,10.9,8.0,7.0,7.0,7.0,8.0,330.0,3.0,310.0,3.0,330.0,5.0,350.0,6.0,10.0,7.0,-2.5,66.6,87.2
15,1995-04-16,87.2,7.1,9.1,11.3,12.0,10.5,7.0,7.0,6.0,5.0,5.0,350.0,2.0,10.0,3.0,350.0,5.0,340.0,7.0,330.0,5.0,-0.8682,93.8,71.6
16,1995-04-17,71.6,9.2,11.2,12.0,12.1,11.6,8.0,8.0,8.0,8.0,8.0,260.0,2.0,250.0,4.0,280.0,4.0,290.0,6.0,290.0,6.0,-3.9392,87.2,72.4
17,1995-04-18,72.4,10.7,12.0,12.3,10.4,9.8,8.0,8.0,8.0,8.0,7.0,250.0,7.0,240.0,8.0,250.0,7.0,320.0,3.0,320.0,6.0,-6.5778,71.6,63.4
18,1995-04-19,63.4,2.6,8.1,7.8,7.0,6.4,6.0,3.0,7.0,7.0,5.0,310.0,3.0,300.0,4.0,310.0,7.0,360.0,1.0,230.0,3.0,-5.3623,72.4,62.2
19,1995-04-20,62.2,-0.3,7.3,10.2,10.5,10.1,1.0,3.0,6.0,8.0,8.0,0.0,0.0,80.0,1.0,270.0,2.0,170.0,2.0,180.0,2.0,-2.0,63.4,76.8
20,1995-04-21,76.8,5.4,11.4,13.0,12.8,9.1,6.0,5.0,7.0,6.0,8.0,60.0,4.0,90.0,7.0,80.0,7.0,60.0,8.0,40.0,9.0,6.8937,62.2,69.4
21,1995-04-22,69.4,6.1,7.3,7.7,8.2,7.3,8.0,8.0,8.0,8.0,4.0,160.0,5.0,170.0,6.0,170.0,6.0,200.0,9.0,200.0,7.0,1.0419,76.8,79.4
22,1995-04-23,79.4,2.4,8.9,11.7,12.9,10.3,3.0,7.0,7.0,8.0,7.0,0.0,0.0,90.0,2.0,80.0,1.0,50.0,1.0,10.0,3.0,0.9848,69.4,71.6
23,1995-04-24,71.6,6.9,10.4,10.8,9.5,9.1,7.0,8.0,8.0,8.0,8.0,10.0,3.0,10.0,7.0,350.0,8.0,340.0,7.0,330.0,6.0,-1.3892,79.4,77.0
24,1995-04-25,77.0,8.3,9.2,10.0,10.2,9.7,8.0,8.0,8.0,8.0,8.0,300.0,6.0,310.0,6.0,310.0,6.0,300.0,7.0,290.0,4.0,-4.5963,71.6,57.8
25,1995-04-26,57.8,10.1,11.5,11.5,13.2,11.8,9.0,8.0,8.0,8.0,8.0,280.0,2.0,20.0,3.0,10.0,2.0,350.0,4.0,350.0,3.0,0.3473,77.0,60.8
26,1995-04-27,60.8,9.2,9.8,10.7,11.2,11.2,8.0,8.0,8.0,8.0,8.0,20.0,3.0,70.0,3.0,80.0,3.0,90.0,3.0,90.0,2.0,2.9544,57.8,56.2
27,1995-04-28,56.2,9.6,10.7,12.3,13.2,13.4,8.0,8.0,8.0,8.0,8.0,80.0,4.0,70.0,4.0,90.0,3.0,120.0,3.0,130.0,1.0,3.0,60.8,75.6
28,1995-04-29,75.6,10.2,11.8,13.0,14.4,15.0,8.0,8.0,8.0,7.0,7.0,200.0,1.0,260.0,1.0,300.0,3.0,290.0,2.0,20.0,3.0,-2.5981,56.2,80.2
29,1995-04-30,80.2,10.6,11.6,13.9,16.7,16.7,8.0,8.0,7.0,6.0,3.0,0.0,0.0,310.0,2.0,220.0,2.0,100.0,1.0,90.0,2.0,-1.2856,75.6,101.4
30,1995-05-01,101.4,9.3,15.2,18.5,20.2,18.6,6.0,6.0,6.0,5.0,6.0,100.0,3.0,140.0,4.0,100.0,5.0,110.0,4.0,100.0,2.0,4.924,80.2,113.0
31,1995-05-02,113.0,8.1,17.1,22.6,23.9,22.5,2.0,3.0,5.0,6.0,6.0,300.0,1.0,50.0,2.0,90.0,4.0,80.0,4.0,90.0,4.0,4.0,101.4,115.6
32,1995-05-03,115.6,9.4,19.5,24.6,25.4,24.1,1.0,1.0,1.0,0.0,0.0,330.0,1.0,80.0,3.0,120.0,4.0,130.0,4.0,110.0,3.0,3.4641,113.0,117.8
33,1995-05-04,117.8,10.2,20.6,26.6,27.7,26.1,0.0,0.0,1.0,1.0,2.0,0.0,0.0,90.0,2.0,160.0,3.0,200.0,3.0,170.0,2.0,1.0261,115.6,127.8
34,1995-05-05,127.8,12.6,22.3,28.1,28.9,27.2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,160.0,2.0,130.0,4.0,140.0,2.0,80.0,3.0,3.0642,117.8,144.6
35,1995-05-06,144.6,14.5,23.2,27.9,28.6,25.4,3.0,1.0,3.0,1.0,4.0,0.0,0.0,140.0,2.0,120.0,4.0,140.0,2.0,20.0,3.0,3.4641,127.8,157.0
36,1995-05-07,157.0,13.3,22.0,26.7,27.8,24.7,4.0,1.0,1.0,1.0,4.0,10.0,1.0,140.0,3.0,150.0,3.0,260.0,2.0,230.0,3.0,1.5,144.6,90.8
