,maxO3,T6,T9,T12,T15,T18,Ne6,Ne9,Ne12,Ne15,Ne18,Vdir6,Vvit6,Vdir9,Vvit9,Vdir12,Vvit12,Vdir15,Vvit15,Vdir18,Vvit18,Vx,maxO3v,maxO3l
0,47.6,10.1,11.6,13.3,13.6,12.2,8.0,8.0,8.0,8.0,8.0,270.0,2.0,290.0,4.0,300.0,4.0,340.0,4.0,20.0,4.0,-3.4641,62.2,56.2
1,56.2,9.5,9.4,13.8,17.4,16.3,8.0,8.0,7.0,0.0,0.0,100.0,2.0,160.0,2.0,180.0,3.0,110.0,1.0,350.0,2.0,0.0,47.6,61.8
2,61.8,3.6,8.0,16.8,21.5,20.2,4.0,5.0,2.0,2.0,3.0,310.0,2.0,20.0,2.0,340.0,1.0,170.0,2.0,170.0,3.0,-0.342,56.2,50.8
3,50.8,9.5,10.5,11.4,12.2,11.4,8.0,7.0,7.0,7.0,8.0,20.0,3.0,10.0,4.0,350.0,3.0,350.0,3.0,350.0,4.0,-0.5209,61.8,59.8
4,59.8,9.8,10.8,13.8,14.3,13.3,8.0,7.0,8.0,8.0,7.0,330.0,2.0,340.0,2.0,280.0,1.0,320.0,3.0,350.0,4.0,-0.9848,50.8,53.4
5,53.4,8.9,10.2,12.6,13.2,12.9,8.0,8.0,8.0,8.0,7.0,240.0,1.0,230.0,3.0,290.0,2.0,300.0,1.0,350.0,3.0,-1.8794,59.8,49.4
6,49.4,11.2,11.0,13.3,14.9,12.5,8.0,8.0,8.0,7.0,7.0,320.0,1.0,350.0,2.0,350.0,1.0,330.0,5.0,360.0,5.0,-0.1736,53.4,82.8
7,82.8,10.0,13.4,15.6,15.4,13.9,8.0,7.0,1.0,3.0,7.0,20.0,4.0,80.0,6.0,90.0,6.0,30.0,6.0,80.0,5.0,6.0,49.4,76.8
8,76.8,3.7,8.3,12.3,13.9,13.2,2.0,4.0,3.0,5.0,5.0,70.0,3.0,90.0,6.0,90.0,4.0,80.0,5.0,80.0,4.0,4.0,82.8,92.6
9,92.6,3.1,9.3,14.1,16.5,14.6,6.0,6.0,4.0,4.0,7.0,350.0,2.0,50.0,1.0,60.0,2.0,80.0,4.0,70.0,4.0,1.7321,76.8,90.6
10,90.6,4.3,13.7,17.0,18.5,17.1,3.0,2.0,4.0,3.0,0.0,330.0,1.0,90.0,4.0,100.0,5.0,90.0,4.0,60.0,3.0,4.924,92.6,104.6
11,104.6,4.8,12.9,18.0,18.9,16.3,1.0,1.0,1.0,0.0,0.0,340.0,1.0,30.0,2.0,60.0,5.0,20.0,6.0,40.0,7.0,4.3301,90.6,71.0
12,71.0,5.9,10.9,13.3,15.0,13.6,1.0,1.0,1.0,1.0,1.0,30.0,5.0,70.0,9.0,60.0,7.0,30.0,8.0,60.0,6.0,6.0622,104.6,66.6
13,66.6,6.5,10.5,14.1,15.6,13.1,0.0,1.0,1.0,2.0,4.0,20.0,4.0,30.0,6.0,20.0,6.0,20.0,6.0,350.0,5.0,2.0521,71.0,93.8
14,93.8,7.0,8.0,13.6,14.1,10.9,8.0,7.0,7.0,7.0,8.0,330.0,3.0,310.0,3.0,330.0,5.0,350.0,6.0,10.0,7.0,-2.5,66.6,87.2
15,87.2,7.1,9.1,11.3,12.0,10.5,7.0,7.0,6.0,5.0,5.0,350.0,2.0,10.0,3.0,350.0,5.0,340.0,7.0,330.0,5.0,-0.8682,93.8,71.6
16,71.6,9.2,11.2,12.0,12.1,11.6,8.0,8.0,8.0,8.0,8.0,260.0,2.0,250.0,4.0,280.0,4.0,290.0,6.0,290.0,6.0,-3.9392,87.2,72.4
17,72.4,10.7,12.0,12.3,10.4,9.8,8.0,8.0,8.0,8.0,7.0,250.0,7.0,240.0,8.0,250.0,7.0,320.0,3.0,320.0,6.0,-6.5778,71.6,63.4
